0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,,,Expected Occurrence,ExpFrac
1,34359738368,8,4209.24199,127.493112,3.141672,4.75E-06,0.881190037,,134217728,0.00390625
2,Value,Occurrences,Fraction,Bias,Rel_Bias,NumSTDev,RMSE,Population Stdev,,
3,242,134226492,0.003906505,2.55066E-07,8764,0.186558681,76807696,,,
3,243,134221764,0.003906367,1.17463E-07,4036,0.085914062,16289296,,,
3,244,134242324,0.003906966,7.15838E-07,24596,0.523573405,604963216,,,
3,245,134170802,0.003904884,-1.36573E-06,-46926,-0.99891062,2202049476,,,
3,246,134209630,0.003906014,-2.35683E-07,-8098,-0.172381584,65577604,,,
3,247,134204852,0.003905875,-3.74741E-07,-12876,-0.27409055,165791376,,,
3,248,134262850,0.003907563,1.31322E-06,45122,0.960508993,2035994884,,,
3,249,134253896,0.003907303,1.05263E-06,36168,0.769905794,1308124224,,,
3,250,134192395,0.003905513,-7.37287E-07,-25333,-0.539261875,641760889,,,
3,251,134233687,0.003906714,4.64468E-07,15959,0.339718164,254689681,,,
3,252,134276914,0.003907973,1.72254E-06,59186,1.259888419,3502982596,,,
3,253,134234147,0.003906728,4.77856E-07,16419,0.349510154,269583561,,,
3,254,134232871,0.003906691,4.40719E-07,15143,0.322348027,229310449,,,
3,255,134283178,0.003908155,1.90485E-06,65450,1.393229768,4283702500,,,
,,,,,0,6.21725E-15,4.054916956,,,
